ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,recommendation7,recommendation8,recommendation9,recommendation10,recommendation11,recommendation12,recommendation13,recommendation14,recommendation15,recommendation16,recommendation17,recommendation18,recommendation19,recommendation20,recommendation21,recommendation22,recommendation23,recommendation24,recommendation25,recommendation26,recommendation27,recommendation28
174430,Gloomhaven,2017,1,8.74,8.511,47555,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__micro/img/sQyh47ClBO3d5sxPm73hMvM-JV4=/fit-in/64x64/filters:strip_icc()/pic2437871.jpg,291457,295770,96848,255984,180263,162886,209010,266507,169786,150376,161936,205059,269385,167355,216734,245655,82222,253344,271896,195421,285192,316554,233078,170216,187645,121921,169426,302723
161936,Pandemic Legacy: Season 1,2015,2,8.6,8.444,44877,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__micro/img/n6-sXYD6XXZoqIxq4P6AG7VPCuA=/fit-in/64x64/filters:strip_icc()/pic2452831.png,221107,314040,239188,224037,266507,198928,245655,146508,162886,150376,279537,171131,2511,209010,30549,197376,302723,209778,195421,174430,181304,201808,255984,178900,259081,156129,169786,284083
224517,Brass: Birmingham,2018,3,8.67,8.417,25216,/boardgame/224517/brass-birmingham,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__micro/img/4Od3GYCiqptga0VbmyumPbJlBsU=/fit-in/64x64/filters:strip_icc()/pic3490053.jpg,220308,251247,167791,341169,125153,284378,184267,193738,317985,316554,310873,177736,169786,256916,163068,364011,247763,383179,321608,182028,229853,161533,311193,359438,342942,142379,124361,233398
167791,Terraforming Mars,2016,4,8.42,8.273,73742,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__micro/img/LUkXZhd1TO80eCiXMD3-KfnzA6k=/fit-in/64x64/filters:strip_icc()/pic3536616.jpg,341169,169786,316554,224517,183394,193738,342942,220308,102794,177736,317985,126163,182028,128621,312484,247763,185343,120677,229853,276025,236457,84876,251247,164928,328871,262712,266810,173346
233078,Twilight Imperium: Fourth Edition,2017,5,8.68,8.26,15911,/boardgame/233078/twilight-imperium-fourth-edition,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__micro/img/2gymaKs35_2yj7eyyA6cYyVmd9c=/fit-in/64x64/filters:strip_icc()/pic3727516.jpg,246900,187645,205896,237182,283355,169786,297562,115746,175155,170216,285967,167355,127023,82222,233247,245655,316554,340466,291572,189932,253499,103343,162886,299659,181279,37111,397598,39463
291457,Gloomhaven: Jaws of the Lion,2020,6,8.69,8.254,15543,/boardgame/291457/gloomhaven-jaws-lion,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__micro/img/OdKjWiFsNvQAfJfXXSITttiozWE=/fit-in/64x64/filters:strip_icc()/pic5055631.jpg,174430,255984,162886,285192,269385,295770,,,,,,,,,,,,,,,,,,,,,,
220308,Gaia Project,2017,7,8.48,8.177,19033,/boardgame/220308/gaia-project,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__micro/img/odWj2bEnZi9dEcQQrOtYj1e0QLE=/fit-in/64x64/filters:strip_icc()/pic5375625.png,251247,224517,193738,317985,120677,177736,125153,182028,167791,310873,341169,276025,229853,102794,216132,184267,185343,126163,161533,247763,284378,342942,124361,163068,35677,122515,200680,256916
187645,Star Wars: Rebellion,2016,8,8.42,8.172,25443,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__micro/img/nEvTiCkWpT-ymH4bstc9c335TtQ=/fit-in/64x64/filters:strip_icc()/pic4325841.jpg,233078,115746,246900,233247,271896,169786,175155,167355,170216,316554,205896,362944,103343,268864,237182,189932,340466,232405,299659,37111,285967,283355,162886,181279,127023,174430,121921,82222
182028,Through the Ages: A New Story of Civilization,2015,9,8.39,8.152,25507,/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__micro/img/77dZJpqtydc8TTecl0ReGF7iAVw=/fit-in/64x64/filters:strip_icc()/pic2663291.jpg,220308,120677,167791,224517,193738,169786,,,,,,,,,,,,,,,,,,,,,,
115746,War of the Ring: Second Edition,2012,10,8.51,8.133,15395,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__micro/img/NT-Av_3kdYUcwuti5ocmIQXow3g=/fit-in/64x64/filters:strip_icc()/pic1215633.jpg,187645,175155,233078,362944,135219,283355,,,,,,,,,,,,,,,,,,,,,,
162886,Spirit Island,2017,11,8.36,8.13,31845,/boardgame/162886/spirit-island,https://cf.geekdo-images.com/a13ieMPP2s0KEaKNYmtH5w__micro/img/HQaHfx5cy6wJtZBMZCbVeNbfdy8=/fit-in/64x64/filters:strip_icc()/pic3615739.png,169786,316554,237182,329082,284653,361545,291457,174430,245655,170216,161936,279537,209010,167791,341169,318184,183394,191189,199792,328871,255984,266507,246900,274364,233371,318182,121921,201808
193738,Great Western Trail,2016,12,8.29,8.123,32814,/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/u1l0gH7sb_vnvDvoO_QHqA__micro/img/xeShpQfbj4L1id-ItJbfIYVzgyA=/fit-in/64x64/filters:strip_icc()/pic4887376.jpg,126163,177736,216132,120677,124361,102794,220308,229853,35677,317985,164928,171623,84876,73439,144733,167791,276025,122515,224517,247763,342942,251247,203993,159675,182874,310873,146886,172386
12333,Twilight Struggle,2005,13,8.28,8.116,42966,/boardgame/12333/twilight-struggle,https://cf.geekdo-images.com/pNCiUUphnoeWOYfsWq0kng__micro/img/ZlfJiIATIt5MY7xWSMzFmdygaa0=/fit-in/64x64/filters:strip_icc()/pic3530661.jpg,27708,25021,62219,177590,111799,182028,84419,268864,115746,283355,9625,40354,79828,256960,214029,72125,165401,303954,262941,28720,237182,291572,2651,339289,62227,31260,128996,132018
169786,Scythe,2016,14,8.22,8.063,64229,/boardgame/169786/scythe,https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__micro/img/ETplc22GdhlN5u0mppcDxSP8LVk=/fit-in/64x64/filters:strip_icc()/pic3163924.jpg,316554,167791,170216,237182,183394,162886,224517,341169,185343,246900,201808,233371,205896,342942,328871,199792,170042,233247,182028,317985,233078,279537,220308,286096,172287,110327,245655,312484
84876,The Castles of Burgundy,2011,15,8.13,8.007,50374,/boardgame/84876/castles-burgundy,https://cf.geekdo-images.com/5CFwjd8zTcGYVUnkXh04hw__micro/img/N1VrEUaW6bmwnqbZfi2nRScwGxM=/fit-in/64x64/filters:strip_icc()/pic1176894.jpg,126163,102794,193738,177736,124361,216132,,,,,,,,,,,,,,,,,,,,,,
173346,7 Wonders Duel,2015,16,8.11,7.982,68942,/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/WzNs1mA_o22ZWTR8fkLP2g__micro/img/xh3isprMbt_FCg9vs3w_ifv-JXY=/fit-in/64x64/filters:strip_icc()/pic3376065.jpg,262712,271324,266192,163412,230802,293014,263918,312484,366013,54043,68448,158600,70919,209685,236457,148228,194655,364073,183394,118048,194594,284083,108745,822,129622,167791,342942,233867
167355,Nemesis,2018,17,8.39,7.979,17441,/boardgame/167355/nemesis,https://cf.geekdo-images.com/tAqLpWxQ0Oo3GaPP3MER1g__micro/img/tivhH093LwCowK-_S7bVF_xha34=/fit-in/64x64/filters:strip_icc()/pic5073276.jpg,310100,340466,253344,285967,187645,233078,205896,170216,205059,292375,174430,188920,311988,246900,222509,169786,281549,316554,232405,291457,285192,189932,295293,269385,271896,255984,237182,245655
120677,Terra Mystica,2012,18,8.12,7.967,41694,/boardgame/120677/terra-mystica,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__micro/img/SAwaBrDhHbGuq6dFY-ok95qFMcU=/fit-in/64x64/filters:strip_icc()/pic5375624.jpg,193738,31260,144733,220308,122515,182028,102794,126163,216132,124361,35677,84876,73439,28143,3076,177736,2651,171623,167791,317985,146886,251247,224517,28720,229853,196340,132531,18602
124361,Concordia,2013,19,8.12,7.966,31337,/boardgame/124361/concordia,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__micro/img/FQyxREkHBn7yTbGmBg7c44eLgaM=/fit-in/64x64/filters:strip_icc()/pic3453267.jpg,122515,73439,193738,35677,126163,84876,120677,177736,164928,143693,43015,171623,317985,216132,2651,102680,148949,203993,220308,28720,102794,31260,159675,146886,224517,182874,284818,93
28720,Brass: Lancashire,2007,20,8.18,7.964,20861,/boardgame/28720/brass-lancashire,https://cf.geekdo-images.com/0BsjJY9MTlx9DRrlkeE69w__micro/img/LzaNnOD21eoa3KYNXJ2kCrZZabM=/fit-in/64x64/filters:strip_icc()/pic5482020.jpg,122515,43015,175914,62219,124361,256730,35677,2651,73439,120677,220308,193738,27833,125153,70149,31260,224517,19857,251247,161533,318983,144733,182028,256960,54138,338760,66589,109276
177736,A Feast for Odin,2016,21,8.2,7.947,19927,/boardgame/177736/feast-odin,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__micro/img/JCrcuFDrjVQ64uLbqpH-Pmg6XsU=/fit-in/64x64/filters:strip_icc()/pic3146943.png,102794,193738,317985,229853,216132,126163,,,,,,,,,,,,,,,,,,,,,,
316554,Dune: Imperium,2020,22,8.32,7.944,14395,/boardgame/316554/dune-imperium,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__micro/img/mfU7-dEFnVyXJrF-BWAO0buexao=/fit-in/64x64/filters:strip_icc()/pic5666597.jpg,169786,167791,341169,183394,162886,224517,342942,170216,328871,361545,312484,199792,185343,237182,279537,317985,262712,201808,233371,397598,246900,247763,266810,365717,220308,170042,329082,266507
266192,Wingspan,2019,23,8.1,7.941,55347,/boardgame/266192/wingspan,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__micro/img/5ZaRePVhfelfofF7T_OC1e0gUCw=/fit-in/64x64/filters:strip_icc()/pic4458123.jpg,266524,312484,281259,230802,244521,173346,286096,295947,183394,199561,350184,366013,236457,342942,163412,199792,295486,274960,283155,293014,209685,271324,287954,265736,218603,263918,284083,258036
205637,Arkham Horror: The Card Game,2016,24,8.16,7.929,32811,/boardgame/205637/arkham-horror-card-game,https://cf.geekdo-images.com/RdCWCXPnBGSxoOhk5Hkq_g__micro/img/TVx3_34ywzwURntW1WMKBx6ZeCg=/fit-in/64x64/filters:strip_icc()/pic6530423.jpg,359609,257499,146021,205059,269385,291457,,,,,,,,,,,,,,,,,,,,,,
183394,Viticulture Essential Edition,2015,25,8.06,7.894,34480,/boardgame/183394/viticulture-essential-edition,https://cf.geekdo-images.com/l_PRU2lVlX9seScRFcvFlA__micro/img/3EqHlTkNSnZNFHVaAeFSpzfzuIQ=/fit-in/64x64/filters:strip_icc()/pic6500949.jpg,342942,341169,312484,167791,170042,286096,236457,169786,266192,328871,177736,316554,266810,164928,199792,247763,231733,244521,128621,318084,279537,157354,102794,317985,193738,295947,185343,262712
164928,Orléans,2014,26,8.08,7.884,24478,/boardgame/164928/orleans,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__micro/img/hUKCvnqgFvTl0aOMd8FLkgCObT0=/fit-in/64x64/filters:strip_icc()/pic6228507.jpg,182874,126163,203993,220877,171623,193738,247763,245638,229853,250458,102680,276025,177736,311193,300322,228341,157354,234487,124361,216132,35677,183394,148949,244711,318084,245934,227789,170042
237182,Root,2018,27,8.1,7.884,31226,/boardgame/237182/root,https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__micro/img/tdHLiMYfi-KTy89sGBGZVeE9ts0=/fit-in/64x64/filters:strip_icc()/pic4254509.jpg,169786,162886,291572,316554,246900,233078,170216,224517,274364,245655,167791,284653,205896,182028,155821,283355,296912,329082,285967,297562,341169,253499,321608,279537,397598,189932,249259,246784
96848,Mage Knight Board Game,2011,28,8.1,7.88,29350,/boardgame/96848/mage-knight-board-game,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__micro/img/eXzdbUmCbIdMIVgiQ_QwS3YNOS4=/fit-in/64x64/filters:strip_icc()/pic1083380.jpg,174430,72125,82222,162886,121921,37111,180263,146652,318184,291457,37046,25292,169786,209010,187645,318182,110327,316554,31481,248562,127023,182028,163602,189932,150376,271896,191189,38453
199792,Everdell,2018,29,8.09,7.868,28528,/boardgame/199792/everdell,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__micro/img/TAgkPCJdNAIHZfn1BE1DXadBL9g=/fit-in/64x64/filters:strip_icc()/pic3918905.png,312484,244521,295947,328871,266192,365717,183394,201808,316554,356033,329465,342942,283155,287954,263918,258036,269207,169786,298069,233371,361545,279537,170042,314491,266524,199561,270844,271320
3076,Puerto Rico,2002,30,7.97,7.839,65340,/boardgame/3076/puerto-rico,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__micro/img/ggNIAA1GEadqvcY7Mvwb9_VEybU=/fit-in/64x64/filters:strip_icc()/pic158548.jpg,31260,18602,2651,31594,120677,93,84876,8217,25554,144733,68448,28143,54,35677,25613,555,34635,124361,148949,126163,36218,122515,193738,43015,171623,9217,73439,102794
175914,Food Chain Magnate,2015,31,8.12,7.833,15316,/boardgame/175914/food-chain-magnate,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__micro/img/4Oucoa190njfSaNHr8YRIl6UnTU=/fit-in/64x64/filters:strip_icc()/pic2649434.png,256960,28720,256730,214880,62219,229892,13122,350205,228372,552,122515,145371,262941,4098,161882,111341,43015,54138,875,146910,182028,202426,220308,2651,224517,297486,124361,332686
266507,Clank!: Legacy – Acquisitions Incorporated,2019,32,8.7,7.829,4844,/boardgame/266507/clank-legacy-acquisitions-incorporated,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__micro/img/v2WzacDprYF837E6h9O2WuFFmpw=/fit-in/64x64/filters:strip_icc()/pic4885780.png,233371,201808,365717,328871,161936,195421,361545,279537,285192,316554,169426,329465,199792,216734,314040,169786,255984,197376,302723,209010,245655,162886,174430,291457,227935,379078,248490,258036
102794,Caverna: The Cave Farmers,2013,33,8.0,7.828,29711,/boardgame/102794/caverna-cave-farmers,https://cf.geekdo-images.com/rz22tqa5PCYvK9oDjIbvxg__micro/img/sog7ni3vUAAfvd66e6XW4iOca4I=/fit-in/64x64/filters:strip_icc()/pic1790789.jpg,177736,126163,193738,216132,84876,120677,,,,,,,,,,,,,,,,,,,,,,
170216,Blood Rage,2015,34,7.99,7.818,37386,/boardgame/170216/blood-rage,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__micro/img/7xdR1_OUo1ReAvYzhi7jBhFMHu0=/fit-in/64x64/filters:strip_icc()/pic2439223.jpg,169786,205896,316554,285967,189932,127023,237182,297562,162886,246900,262712,233078,176920,201808,172287,167791,245655,209010,195539,187645,183394,202408,192457,233371,132531,54998,167355,232405
31260,Agricola,2007,35,7.93,7.811,65989,/boardgame/31260/agricola,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__micro/img/SZgGqufNqaW8BCFT29wkYPaRXOE=/fit-in/64x64/filters:strip_icc()/pic831744.jpg,3076,2651,120677,28143,18602,84876,144733,68448,31481,124361,35677,36218,122515,25613,93,193738,102794,43015,182028,19857,126163,73439,8217,27833,167791,148949,20551,220308
